benchmark,result,holes,solve,check
baseline_probs_new_verit/baseline_probs_new/Multi_Party_Computation.OT14[513_26985]/mirabelle/mirabelle.log,,,,
baseline_probs_new_verit/baseline_probs_new/Berlekamp_Zassenhaus.Berlekamp_Type_Based[376_13292]/mirabelle/mirabelle.log,unsat,,137,3
baseline_probs_new_verit/baseline_probs_new/Regex_Equivalence.Derivatives_Finite[274_10247]/mirabelle/mirabelle.log,,,,
baseline_probs_new_verit/baseline_probs_new/Category3.Yoneda[333_14364]/mirabelle/mirabelle.log,unsat,,251,3
baseline_probs_new_verit/baseline_probs_new/Jordan_Hoelder.CompositionSeries[671_31673]/mirabelle/mirabelle.log,,,,
baseline_probs_new_verit/baseline_probs_new/Ergodic_Theory.Invariants[1052_56882]/mirabelle/mirabelle.log,,,,
baseline_probs_new_verit/baseline_probs_new/VeriComp.Inf[51_1495]/mirabelle/mirabelle.log,unsat,,106,0
baseline_probs_new_verit/baseline_probs_new/Prime_Distribution_Elementary.Summatory_Divisor_Sigma_Bounds[176_9021]/mirabelle/mirabelle.log,,,,
baseline_probs_new_verit/baseline_probs_new/Regex_Equivalence.Deriv_PDeriv[167_6180]/mirabelle/mirabelle.log,,,,
baseline_probs_new_verit/baseline_probs_new/Abstract-Hoare-Logics.PHoareTotal[135_4010]/mirabelle/mirabelle.log,,,,
baseline_probs_new_verit/baseline_probs_new/Subset_Boolean_Algebras.Subset_Boolean_Algebras[314_13433]/mirabelle/mirabelle.log,unsat,,102,18
baseline_probs_new_verit/baseline_probs_new/Noninterference_CSP.ClassicalNoninterference[1611_71358]/mirabelle/mirabelle.log,,,,
baseline_probs_new_verit/baseline_probs_new/Comparison_Sort_Lower_Bound.Linorder_Relations[127_4319]/mirabelle/mirabelle.log,unsat,,343,45
baseline_probs_new_verit/baseline_probs_new/Berlekamp_Zassenhaus.Poly_Mod_Finite_Field[213_8393]/mirabelle/mirabelle.log,unsat,,146,8
baseline_probs_new_verit/baseline_probs_new/Jordan_Hoelder.CompositionSeries[276_12009]/mirabelle/mirabelle.log,,,,
baseline_probs_new_verit/baseline_probs_new/Category3.NaturalTransformation[172_6289]/mirabelle/mirabelle.log,,,,
baseline_probs_new_verit/baseline_probs_new/CryptHOL.Generative_Probabilistic_Value[4117_178243]/mirabelle/mirabelle.log,,,,
