benchmark,result,holes,solve,load,reconstruct,kernel
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f50.smt2/output.log,,,706163,528,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f88.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f61.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f03.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f48.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f79.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f32.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f90.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f65.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f54.smt2/output.log,,,282631,473,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f36.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f94.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f07.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f40.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f71.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f98.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f58.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f13.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f80.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f22.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f69.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f75.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f44.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f84.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f26.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f17.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f41.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f70.smt2/output.log,,,377001,489,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f99.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f12.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f59.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f81.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f68.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f23.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f74.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f45.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f85.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f27.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f16.smt2/output.log,,,433831,588,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f51.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f89.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f60.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f49.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f02.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f33.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f78.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f91.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f64.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f55.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f37.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f95.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f06.smt2/output.log,,,205318,396,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f08.smt2/output.log,,,309968,534,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f43.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f72.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f39.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f10.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f21.smt2/output.log,,,,,,
supported_lean/supported/QF_UFIDL/20210312-Bouvier/vlsat3_f83.smt2/output.log,,,,,,
