benchmark,result,holes,solve
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00114_003793__14439336_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00186_006579__16501818_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00246_009058__18528810_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00158_005575__15690656_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00109_003662__14376672_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00220_007813__17515694_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00244_008921__18438310_1.p.stdout,unsat,,12826
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00068_002171__13494616_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00248_009170__18610724_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00081_002586__13832746_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00115_003827__14501348_1.p.stdout,unsat,,2362
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00139_004785__15007260_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00098_003214__14183988_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00015_000314__12382752_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00236_008474__18064766_1.p.stdout,unsat,,33339
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00038_001067__12778770_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00164_005816__15955954_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00218_007668__17427918_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00212_007394__17138004_1.p.stdout,unsat,,2157
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00160_005668__15871082_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00029_000763__12574310_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00058_001799__13299482_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00235_008411__17953936_1.p.stdout,unsat,,2594
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00242_008788__18350464_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00087_002733__13918730_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00240_008712__18265008_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00080_002519__13751868_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00222_007972__17602064_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00171_006096__16239332_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00051_001540__13131264_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00117_003914__14569554_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00149_005235__15332926_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00104_003436__14281498_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00182_006503__16431048_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00211_007300__17032240_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00238_008532__18180994_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00214_007471__17252618_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00159_005627__15781168_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00119_004062__14704382_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00063_002042__13390288_1.p.stdout,unsat,,1819
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00120_004092__14784022_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00129_004363__14847860_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00165_005865__16051606_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00150_005290__15428948_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00032_000847__12631990_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00190_006708__16655792_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00071_002263__13581152_1.p.stdout,unsat,,46524
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00145_005047__15162810_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00231_008204__17766270_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00091_002960__14087900_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00250_009257__18685912_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00216_007529__17340878_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00188_006638__16581144_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00142_004948__15085992_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00193_006813__16736686_1.p.stdout,unsat,,4780
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0000_Angles/prob_00234_008317__17846472_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0001_Triangle/prob_00068_002357__19441612_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0001_Triangle/prob_00105_003707__20032128_1.p.stdout,unsat,,5626
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0001_Triangle/prob_00088_003247__19773246_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0001_Triangle/prob_00027_000620__18836752_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0001_Triangle/prob_00146_005754__20672730_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0001_Triangle/prob_00084_003074__19686744_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0001_Triangle/prob_00072_002661__19612848_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0001_Triangle/prob_00144_005620__20602416_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0001_Triangle/prob_00025_000554__18777774_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0001_Triangle/prob_00029_000697__18911650_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0001_Triangle/prob_00071_002555__19527266_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0001_Triangle/prob_00048_001426__19080328_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0001_Triangle/prob_00063_002029__19262634_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0001_Triangle/prob_00133_005016__20357624_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0001_Triangle/prob_00141_005408__20528668_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0001_Triangle/prob_00136_005253__20440156_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0001_Triangle/prob_00092_003390__19851304_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0001_Triangle/prob_00060_001968__19170130_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0001_Triangle/prob_00096_003554__19941536_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0001_Triangle/prob_00128_004818__20183196_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0001_Triangle/prob_00066_002212__19355456_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0001_Triangle/prob_00108_003813__20103186_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0001_Triangle/prob_00164_006180__20754622_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0001_Triangle/prob_00043_001182__18994228_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Triangle/0001_Triangle/prob_00130_004912__20274310_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0002_Simplicial/prob_00363_012087__18631554_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0002_Simplicial/prob_00599_020779__19028514_1.p.stdout,unsat,,12077
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0002_Simplicial/prob_00741_026285__19211282_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0002_Simplicial/prob_00135_004319__18353328_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0002_Simplicial/prob_00478_016300__18826288_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0002_Simplicial/prob_00053_001670__18236692_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0002_Simplicial/prob_00235_007360__18474442_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0000_Prelim/prob_00851_027899__13790684_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0000_Prelim/prob_00401_012696__13129468_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0000_Prelim/prob_01083_036006__14125940_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0000_Prelim/prob_00302_009370__12951472_1.p.stdout,unsat,,3247
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0000_Prelim/prob_00938_031021__13966984_1.p.stdout,unsat,,2926
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0000_Prelim/prob_00218_006568__12831576_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0000_Prelim/prob_00757_024673__13667960_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0000_Prelim/prob_01462_049345__14531902_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0000_Prelim/prob_00510_015989__13287658_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0000_Prelim/prob_00626_019926__13422712_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0000_Prelim/prob_01205_039794__14263792_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0000_Prelim/prob_00111_002893__12722804_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0000_Prelim/prob_01351_044592__14383762_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0000_Prelim/prob_01594_053482__14711634_1.p.stdout,unsat,,14173
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0003_Chamber/prob_04035_144810__23910366_1.p.stdout,unsat,,59420
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0003_Chamber/prob_00196_007507__19393032_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0003_Chamber/prob_02784_100570__22173850_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0003_Chamber/prob_02023_072848__21350932_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0003_Chamber/prob_02924_105904__22285910_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0003_Chamber/prob_01913_069038__21192874_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0003_Chamber/prob_00753_027269__19974144_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0003_Chamber/prob_02269_082082__21665244_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0003_Chamber/prob_01260_045601__20529588_1.p.stdout,unsat,,13165
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0003_Chamber/prob_04419_159730__24424970_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0003_Chamber/prob_02544_091896__21901104_1.p.stdout,unsat,,12411
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0003_Chamber/prob_00508_018205__19714846_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0003_Chamber/prob_03602_129249__23344780_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0003_Chamber/prob_04571_165472__24592038_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0003_Chamber/prob_00361_012984__19583710_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0003_Chamber/prob_01541_054913__20802350_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0003_Chamber/prob_00878_031970__20103550_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0003_Chamber/prob_01420_050780__20672398_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0003_Chamber/prob_03356_120315__22905476_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0003_Chamber/prob_03248_116550__22797828_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0003_Chamber/prob_02372_085742__21790136_1.p.stdout,unsat,,9658
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0003_Chamber/prob_03939_141107__23692554_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0003_Chamber/prob_03782_135686__23514508_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0003_Chamber/prob_01812_065353__21066234_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0003_Chamber/prob_03150_113175__22633280_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0003_Chamber/prob_01038_038234__20227426_1.p.stdout,unsat,,2512
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0003_Chamber/prob_01675_060035__20941236_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0003_Chamber/prob_03449_123772__23056332_1.p.stdout,unsat,,1857
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0003_Chamber/prob_02132_077323__21505164_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0003_Chamber/prob_04205_151239__24089042_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0003_Chamber/prob_01112_040863__20391712_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0003_Chamber/prob_04321_155706__24253416_1.p.stdout,unsat,,1879
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0003_Chamber/prob_03051_109769__22508032_1.p.stdout,unsat,,42448
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0003_Chamber/prob_00619_021820__19835204_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0003_Chamber/prob_02670_096732__22027748_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0004_Coxeter/prob_02502_094631__27986346_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0004_Coxeter/prob_01245_047121__26514980_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0004_Coxeter/prob_00180_006416__24880946_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0004_Coxeter/prob_00038_000975__24779422_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0004_Coxeter/prob_00615_023124__25385026_1.p.stdout,unsat,,5608
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0004_Coxeter/prob_01713_065110__27019516_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0004_Coxeter/prob_02368_089791__27821872_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0004_Coxeter/prob_01447_055167__26713168_1.p.stdout,unsat,,19043
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0004_Coxeter/prob_00752_028903__25477422_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0004_Coxeter/prob_01541_058607__26850142_1.p.stdout,unsat,,19379
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0004_Coxeter/prob_01015_038580__25985838_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0004_Coxeter/prob_01819_068892__27150556_1.p.stdout,unsat,,1933
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0004_Coxeter/prob_00511_018914__25187774_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0004_Coxeter/prob_00366_013408__25017912_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0004_Coxeter/prob_01350_051411__26613588_1.p.stdout,unsat,,7158
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0004_Coxeter/prob_01141_043742__26220672_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0004_Coxeter/prob_02251_085695__27678324_1.p.stdout,unsat,,1965
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0004_Coxeter/prob_02062_078830__27522176_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0004_Coxeter/prob_01926_073254__27381680_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0004_Coxeter/prob_00894_034068__25741724_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0001_Algebra/prob_00921_031990__15579808_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0001_Algebra/prob_02437_086306__17495986_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0001_Algebra/prob_00182_005278__14929674_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0001_Algebra/prob_01467_050216__16209414_1.p.stdout,unsat,,6510
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0001_Algebra/prob_03020_108210__18119826_1.p.stdout,unsat,,50994
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0001_Algebra/prob_01708_059569__16385514_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0001_Algebra/prob_00020_000463__14844852_1.p.stdout,unsat,,1891
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0001_Algebra/prob_02063_071901__16845532_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0001_Algebra/prob_01548_053682__16302390_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0001_Algebra/prob_01340_046144__16125028_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0001_Algebra/prob_01129_039115__15957724_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0001_Algebra/prob_01897_066172__16565058_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0001_Algebra/prob_00391_012538__15192146_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0001_Algebra/prob_01218_042369__16048522_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0001_Algebra/prob_00771_026756__15475470_1.p.stdout,unsat,,4343
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0001_Algebra/prob_02316_081944__17345186_1.p.stdout,unsat,,1786
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0001_Algebra/prob_02186_076698__17077484_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0001_Algebra/prob_00662_022636__15362092_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0001_Algebra/prob_02576_091611__17641018_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0001_Algebra/prob_02725_096978__17816278_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0001_Algebra/prob_02923_104433__18003456_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0001_Algebra/prob_00304_009445__15023524_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0001_Algebra/prob_01011_035165__15752626_1.p.stdout,unsat,,17710
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Buildings/0001_Algebra/prob_00523_016902__15278770_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Poincare_Disc/0008_Poincare/prob_00077_002543__14120946_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Poincare_Disc/0006_Poincare_Perpendicular/prob_00326_012039__13185522_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Poincare_Disc/0006_Poincare_Perpendicular/prob_00219_008378__13084550_1.p.stdout,unsat,,1929
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Poincare_Disc/0006_Poincare_Perpendicular/prob_00119_004553__13003922_1.p.stdout,unsat,,1835
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Poincare_Disc/0006_Poincare_Perpendicular/prob_00425_015448__13293206_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Poincare_Disc/0006_Poincare_Perpendicular/prob_00606_021829__13556276_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Poincare_Disc/0006_Poincare_Perpendicular/prob_00500_017972__13455842_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Poincare_Disc/0000_Poincare_Lines/prob_00394_014972__6512642_1.p.stdout,,,
/home/user/artifact/output/all/duper/seventeen/baseline_probs/clean_FOF/Poincare_Disc/0000_Poincare_Lines/prob_01416_051766__7722994_1.p.stdout,,,
