benchmark,result,holes,solve,load,reconstruct,kernel
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00457_016745__13431316.smt_in.stdout,unsat,,112,74,86,172
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00446_016414__13251764.smt_in.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_01276_046151__23722284.smt_in.stdout,unsat,,76,66,80,142
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_01325_047559__24243338.smt_in.stdout,unsat,,137,62,110,146
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00880_031457__19878444.smt_in.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00512_018644__14501366.smt_in.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00534_019406__15066870.smt_in.stdout,unsat,,88,67,95,169
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00689_024544__17866628.smt_in.stdout,unsat,,120,62,112,199
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_01556_055854__27321686.smt_in.stdout,unsat,,82,68,96,179
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_01180_042346__22586312.smt_in.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00994_035030__21277158.smt_in.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00561_020058__15614374.smt_in.stdout,unsat,,339,68,116,272
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_01315_047139__24029126.smt_in.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_01693_060959__28905274.smt_in.stdout,unsat,,1102,68,478,497
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_01285_046387__23889790.smt_in.stdout,unsat,,132,68,133,224
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_01650_059018__28205570.smt_in.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00767_027427__18850942.smt_in.stdout,unsat,,80,78,88,145
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_01816_066994__30322016.smt_in.stdout,unsat,,42,75,82,186
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00674_024089__17703762.smt_in.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_01131_040335__22022410.smt_in.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00387_014240__12768320.smt_in.stdout,unsat,,132,68,137,311
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_01787_065602__30084788.smt_in.stdout,unsat,,72,67,77,207
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_01475_052282__25756878.smt_in.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_01444_051517__25639598.smt_in.stdout,unsat,,1438,65,84,199
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_01669_059931__28469740.smt_in.stdout,unsat,,48,67,93,183
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00508_018550__14285056.smt_in.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_01223_043954__23239928.smt_in.stdout,unsat,,127,65,95,187
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00587_021102__16106412.smt_in.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00201_007546__11858214.smt_in.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00429_016041__12898890.smt_in.stdout,unsat,,327,76,185,391
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_01639_058759__28011208.smt_in.stdout,unsat,,73,218,84,127
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_01027_036214__21673570.smt_in.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_01009_035650__21366384.smt_in.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00938_033269__20729578.smt_in.stdout,unsat,,137,69,85,171
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00620_022090__16947732.smt_in.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00525_019075__14865460.smt_in.stdout,unsat,,110,73,114,222
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00865_030976__19703918.smt_in.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00546_019666__15276922.smt_in.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_01601_057957__27857308.smt_in.stdout,unsat,,139,67,78,182
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00497_018270__14015040.smt_in.stdout,unsat,,142,75,109,241
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00550_019740__15436484.smt_in.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00616_021972__16750134.smt_in.stdout,unsat,,130,67,89,150
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_01882_069198__30685256.smt_in.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_01515_053845__26578064.smt_in.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_01193_042937__22795394.smt_in.stdout,unsat,,45,65,93,133
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_01338_047981__24460730.smt_in.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00915_032557__20422800.smt_in.stdout,unsat,,221,64,139,226
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00333_012374__12620512.smt_in.stdout,unsat,,67,67,70,129
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_01723_062556__29400928.smt_in.stdout,unsat,,215,64,107,244
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00296_011230__12349014.smt_in.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00732_026084__18462640.smt_in.stdout,unsat,,94,66,128,184
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_01207_043380__22982262.smt_in.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00921_032719__20647360.smt_in.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_01219_043808__23128860.smt_in.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00967_034076__21074600.smt_in.stdout,unsat,,77,66,82,155
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_01266_045721__23589128.smt_in.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00612_021864__16550256.smt_in.stdout,unsat,,127,67,107,148
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00722_025776__18318258.smt_in.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_01389_049652__24976212.smt_in.stdout,unsat,,76,72,85,159
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00753_026925__18657090.smt_in.stdout,unsat,,87,64,88,153
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00711_025274__18116360.smt_in.stdout,unsat,,81,65,105,145
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00317_011935__12486454.smt_in.stdout,unsat,,72,67,74,140
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00575_020683__15838272.smt_in.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_01373_048919__24690854.smt_in.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00951_033544__20898514.smt_in.stdout,unsat,,217,68,87,207
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00440_016315__13130862.smt_in.stdout,unsat,,116,67,100,151
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_01017_035977__21543510.smt_in.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00631_022512__17176154.smt_in.stdout,unsat,,220,65,103,181
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_01526_054372__26865436.smt_in.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_01579_057001__27592886.smt_in.stdout,unsat,,44,66,83,147
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_00182_006889__11709252.smt_in.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/seventeen/baseline_probs/SMT2/Finger-Trees/0000_FingerTree/prob_01046_036837__21844844.smt_in.stdout,unsat,,81,66,79,149
