benchmark,result,holes,solve,check
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/reverse_invariant_16_2.smt2.stdout,unsat,,29,39
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_traverse_loop_invariant_23_3.smt2.stdout,unsat,,361,289
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_insert_check_heap_access_24_6.smt2.stdout,unsat,,122,42
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/filter_postcondition_of_filter_36_1.smt2.stdout,unsat,,495,112
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/create_check_heap_access_49_4.smt2.stdout,unsat,,18,33
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_remove_check_heap_access_45_6.smt2.stdout,unsat,,289,59
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/insert_postcondition_of_insert_27_4.smt2.stdout,unsat,,6351,469
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_concat_precondition_of_find_last_29_7.smt2.stdout,unsat,,18,31
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_reverse_loop_precondition_of_rec_reverse_loop_21_11.smt2.stdout,unsat,,136,64
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/find_last_postcondition_of_find_last_20_4.smt2.stdout,unsat,,60,49
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_remove_postcondition_of_dl_remove_16_4.smt2.stdout,unsat,,34,43
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_copy_loop_check_heap_access_28_4.smt2.stdout,unsat,,36,36
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_reverse_loop_check_heap_access_19_4.smt2.stdout,unsat,,26,34
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_copy_loop_check_heap_access_44_4.smt2.stdout,unsat,,46,35
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_remove_check_heap_access_25_4.smt2.stdout,unsat,,94,45
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/traverse1_invariant_15_2.smt2.stdout,unsat,,28,36
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/pull_strands_check_heap_access_77_2.smt2.stdout,unsat,,23,34
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_reverse_loop_check_heap_access_27_4.smt2.stdout,unsat,,40,36
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/find_last_check_heap_access_14_2.smt2.stdout,unsat,,22,33
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_remove_postcondition_of_dl_remove_50_4.smt2.stdout,unsat,,1566,294
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/traverse2_loop_invariant_35_5.smt2.stdout,unsat,,70,57
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_remove_check_heap_access_38_4.smt2.stdout,unsat,,92,48
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_filter_postcondition_of_rec_filter_20_4.smt2.stdout,unsat,,548,81
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/union_postcondition_of_union_42_1.smt2.stdout,unsat,,14817,239
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_copy_loop_check_heap_access_35_4.smt2.stdout,unsat,,141,40
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/traverse2_loop_check_heap_access_34_6.smt2.stdout,unsat,,28,34
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_insert_check_heap_access_22_6.smt2.stdout,unsat,,28,34
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_concat_check_heap_access_24_4.smt2.stdout,unsat,,46,37
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/remove_check_heap_access_27_4.smt2.stdout,unsat,,7518,368
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_remove_precondition_of_rec_remove_24_10.smt2.stdout,unsat,,25,37
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_remove_check_free_49_4.smt2.stdout,unsat,,151,42
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_insert_check_heap_access_38_4.smt2.stdout,unsat,,261,56
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/concat_invariant_18_4.smt2.stdout,unsat,,33,38
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_filter_loop_check_heap_access_27_8.smt2.stdout,unsat,,23,33
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_copy_loop_precondition_of_rec_reverse_38_11.smt2.stdout,unsat,,18,32
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_reverse_precondition_of_rec_reverse_acc_27_9.smt2.stdout,unsat,,27,38
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_filter_precondition_of_rec_filter_18_10.smt2.stdout,unsat,,26,37
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dispose_loop_invariant_20_3.smt2.stdout,unsat,,32,39
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_insert_check_heap_access_18_6.smt2.stdout,unsat,,73,39
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/dl_insert_check_heap_access_34_6.smt2.stdout,unsat,,7741,335
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_remove_check_heap_access_23_4.smt2.stdout,unsat,,23,54
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/remove_check_heap_access_30_6.smt2.stdout,unsat,,47,35
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/find_check_heap_access_20_4.smt2.stdout,unsat,,100,43
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/rec_copy_loop_postcondition_of_rec_copy_loop_38_4.smt2.stdout,unsat,,111,63
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/insert_check_heap_access_25_4.smt2.stdout,unsat,,57,41
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/reverse_loop_check_heap_access_23_4.smt2.stdout,unsat,,29,36
/home/user/artifact/output/all/cvc5+ethos/SMT-LIB/non-incremental/UF/grasshopper/instantiated/split_loop_check_heap_access_76_4.smt2.stdout,unsat,,36,40
