benchmark,result,holes,solve,load,reconstruct,kernel
/home/user/artifact/output/all/cvc5+leansmt/SMT-LIB/non-incremental/QF_UFIDL/20210312-Bouvier/vlsat3_f50.smt2.stdout,,,706163,528,,
/home/user/artifact/output/all/cvc5+leansmt/SMT-LIB/non-incremental/QF_UFIDL/20210312-Bouvier/vlsat3_f88.smt2.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt/SMT-LIB/non-incremental/QF_UFIDL/20210312-Bouvier/vlsat3_f61.smt2.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt/SMT-LIB/non-incremental/QF_UFIDL/20210312-Bouvier/vlsat3_f03.smt2.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt/SMT-LIB/non-incremental/QF_UFIDL/20210312-Bouvier/vlsat3_f48.smt2.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt/SMT-LIB/non-incremental/QF_UFIDL/20210312-Bouvier/vlsat3_f79.smt2.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt/SMT-LIB/non-incremental/QF_UFIDL/20210312-Bouvier/vlsat3_f32.smt2.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt/SMT-LIB/non-incremental/QF_UFIDL/20210312-Bouvier/vlsat3_f90.smt2.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt/SMT-LIB/non-incremental/QF_UFIDL/20210312-Bouvier/vlsat3_f65.smt2.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt/SMT-LIB/non-incremental/QF_UFIDL/20210312-Bouvier/vlsat3_f54.smt2.stdout,,,282631,473,,
/home/user/artifact/output/all/cvc5+leansmt/SMT-LIB/non-incremental/QF_UFIDL/20210312-Bouvier/vlsat3_f36.smt2.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt/SMT-LIB/non-incremental/QF_UFIDL/20210312-Bouvier/vlsat3_f94.smt2.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt/SMT-LIB/non-incremental/QF_UFIDL/20210312-Bouvier/vlsat3_f07.smt2.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt/SMT-LIB/non-incremental/QF_UFIDL/20210312-Bouvier/vlsat3_f40.smt2.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt/SMT-LIB/non-incremental/QF_UFIDL/20210312-Bouvier/vlsat3_f71.smt2.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt/SMT-LIB/non-incremental/QF_UFIDL/20210312-Bouvier/vlsat3_f98.smt2.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt/SMT-LIB/non-incremental/QF_UFIDL/20210312-Bouvier/vlsat3_f58.smt2.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt/SMT-LIB/non-incremental/QF_UFIDL/20210312-Bouvier/vlsat3_f13.smt2.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt/SMT-LIB/non-incremental/QF_UFIDL/20210312-Bouvier/vlsat3_f80.smt2.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt/SMT-LIB/non-incremental/QF_UFIDL/20210312-Bouvier/vlsat3_f22.smt2.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt/SMT-LIB/non-incremental/QF_UFIDL/20210312-Bouvier/vlsat3_f69.smt2.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt/SMT-LIB/non-incremental/QF_UFIDL/20210312-Bouvier/vlsat3_f75.smt2.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt/SMT-LIB/non-incremental/QF_UFIDL/20210312-Bouvier/vlsat3_f44.smt2.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt/SMT-LIB/non-incremental/QF_UFIDL/20210312-Bouvier/vlsat3_f84.smt2.stdout,,,,,,
