benchmark,result,holes,solve,load,reconstruct,kernel
/home/user/artifact/output/all/cvc5+leansmt+compiler/SMT-LIB/non-incremental/QF_IDL/cellar/CELAR7_SUB2.smt2.stdout,unsat,,284,67,1575,15195
/home/user/artifact/output/all/cvc5+leansmt+compiler/SMT-LIB/non-incremental/QF_IDL/cellar/CELAR6_SUB2.smt2.stdout,unsat,,341,66,2080,18312
/home/user/artifact/output/all/cvc5+leansmt+compiler/SMT-LIB/non-incremental/QF_IDL/cellar/scen06.smt2.stdout,unsat,,2357,69,4659,83928
/home/user/artifact/output/all/cvc5+leansmt+compiler/SMT-LIB/non-incremental/QF_IDL/cellar/scen07.smt2.stdout,,,2530,70,4718,
/home/user/artifact/output/all/cvc5+leansmt+compiler/SMT-LIB/non-incremental/QF_IDL/cellar/CELAR7_SUB3.smt2.stdout,unsat,,311,71,1251,12118
/home/user/artifact/output/all/cvc5+leansmt+compiler/SMT-LIB/non-incremental/QF_IDL/cellar/CELAR6_SUB3.smt2.stdout,unsat,,372,68,1710,18456
/home/user/artifact/output/all/cvc5+leansmt+compiler/SMT-LIB/non-incremental/QF_IDL/cellar/CELAR7_SUB1.smt2.stdout,unsat,,253,66,1409,10575
/home/user/artifact/output/all/cvc5+leansmt+compiler/SMT-LIB/non-incremental/QF_IDL/cellar/CELAR6_SUB1.smt2.stdout,unsat,,263,69,1644,15762
/home/user/artifact/output/all/cvc5+leansmt+compiler/SMT-LIB/non-incremental/QF_IDL/cellar/scen09.smt2.stdout,,,10034,68,4503,
/home/user/artifact/output/all/cvc5+leansmt+compiler/SMT-LIB/non-incremental/QF_IDL/cellar/CELAR6_SUB0.smt2.stdout,unsat,,664,69,6436,40321
/home/user/artifact/output/all/cvc5+leansmt+compiler/SMT-LIB/non-incremental/QF_IDL/cellar/scen08.smt2.stdout,,,7544,70,4012,
/home/user/artifact/output/all/cvc5+leansmt+compiler/SMT-LIB/non-incremental/QF_IDL/cellar/CELAR7_SUB4.smt2.stdout,unsat,,456,84,2649,35575
/home/user/artifact/output/all/cvc5+leansmt+compiler/SMT-LIB/non-incremental/QF_IDL/cellar/CELAR6_SUB4.smt2.stdout,unsat,,389,67,1510,16901
/home/user/artifact/output/all/cvc5+leansmt+compiler/SMT-LIB/non-incremental/QF_IDL/diamonds/diamonds.13.10.i.a.u.smt2.stdout,,,105436,177,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/SMT-LIB/non-incremental/QF_IDL/diamonds/diamonds.18.3.i.a.u.smt2.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/SMT-LIB/non-incremental/QF_IDL/diamonds/diamonds.16.10.i.a.u.smt2.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/SMT-LIB/non-incremental/QF_IDL/diamonds/diamonds.17.3.i.a.u.smt2.stdout,,,,,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/SMT-LIB/non-incremental/QF_IDL/diamonds/diamonds.16.3.i.a.u.smt2.stdout,,,440435,1073,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/SMT-LIB/non-incremental/QF_IDL/diamonds/diamonds.14.3.i.a.u.smt2.stdout,,,82341,282,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/SMT-LIB/non-incremental/QF_IDL/diamonds/diamonds.15.3.i.a.u.smt2.stdout,,,192063,522,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/SMT-LIB/non-incremental/QF_IDL/diamonds/diamonds.10.3.i.a.u.smt2.stdout,,,2852,72,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/SMT-LIB/non-incremental/QF_IDL/diamonds/diamonds.11.3.i.a.u.smt2.stdout,,,6893,87,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/SMT-LIB/non-incremental/QF_IDL/diamonds/diamonds.14.10.i.a.u.smt2.stdout,,,234961,582,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/SMT-LIB/non-incremental/QF_IDL/diamonds/diamonds.13.3.i.a.u.smt2.stdout,,,36457,164,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/SMT-LIB/non-incremental/QF_IDL/diamonds/diamonds.12.3.i.a.u.smt2.stdout,,,15383,113,,
/home/user/artifact/output/all/cvc5+leansmt+compiler/SMT-LIB/non-incremental/QF_IDL/diamonds/diamonds.11.10.i.a.u.smt2.stdout,,,19011,89,,
